{'名称': '我不是药神', '主演': '主演：徐峥,王传君,周一围', '时间': '上映时间：2018-07-05'}
{'名称': '肖申克的救赎', '主演': '主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿', '时间': '上映时间：1994-09-10(加拿大)'}
{'名称': '海上钢琴师', '主演': '主演：蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世', '时间': '上映时间：2019-11-15'}
{'名称': '绿皮书', '主演': '主演：维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼', '时间': '上映时间：2019-03-01'}
{'名称': '霸王别姬', '主演': '主演：张国荣,张丰毅,巩俐', '时间': '上映时间：1993-07-26'}
{'名称': '美丽人生', '主演': '主演：罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克', '时间': '上映时间：2020-01-03'}
{'名称': '这个杀手不太冷', '主演': '主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼', '时间': '上映时间：1994-09-14(法国)'}
{'名称': '星际穿越', '主演': '主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦', '时间': '上映时间：2014-11-12'}
{'名称': '小偷家族', '主演': '主演：中川雅也,安藤樱,松冈茉优', '时间': '上映时间：2018-08-03'}
{'名称': '盗梦空间', '主演': '主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特', '时间': '上映时间：2010-09-01'}
{'名称': '怦然心动', '主演': '主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因', '时间': '上映时间：2010-07-26(美国)'}
{'名称': '泰坦尼克号', '主演': '主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩', '时间': '上映时间：1998-04-03'}
{'名称': '哪吒之魔童降世', '主演': '主演：吕艳婷,囧森瑟夫,瀚墨', '时间': '上映时间：2019-07-26'}
{'名称': '阿甘正传', '主演': '主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯', '时间': '上映时间：1994-07-06(美国)'}
{'名称': '楚门的世界', '主演': '主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇', '时间': '上映时间：1998(罗马尼亚)'}
{'名称': '千与千寻', '主演': '主演：柊瑠美,周冬雨,井柏然', '时间': '上映时间：2019-06-21'}
{'名称': '触不可及', '主演': '主演：弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼', '时间': '上映时间：2011-11-02(法国)'}
{'名称': '寻梦环游记', '主演': '主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔', '时间': '上映时间：2017-11-24'}
{'名称': '辛德勒的名单', '主演': '主演：连姆·尼森,拉尔夫·费因斯,本·金斯利', '时间': '上映时间：1993-11-30(美国)'}
